:START_ID(DocSpec),:END_ID(DocSpec)
DC-CIVICMESH-FEDERATION-NOC-MUNICIPAL-RECONCILED-001.md,DC-MESHPLATE-PRIVACY-COMPLIANCE-RECONCILED-001.md
DC-CM-GOV-FUNDING-RECONCILED-001.md,DC-CM-ISC-LOAN-RECONCILED-001.md
DC-CM-GOV-FUNDING-RECONCILED-001.md,DC-CM-TM-GRANT-FUNDING-RECONCILED-001.md
DC-COMPETITIVE-STRATEGY-RECONCILED-001.md,DC-CM-COMPETITIVE-RECONCILED-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-DAO-AGENT-LOOP-USER-STORIES-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-DCENTRAL-SIMULATION-LAB-RECONCILED-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-HCCC-GRAPHRAG-RECONCILED-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-IHOSE-HARDWARE-BOM-RECONCILED-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-MESHSTORAGE-ARCHIVE-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-NETWORKING-ARCH-RECONCILED-001.md
DC-COMPUTE-SILICON-ARCH-001.md,DC-OPENSECURE-GUARDIAN-SENTINEL-ARCH-RECONCILED-001.md
DC-COMPUTE-SILICON-ARCH-001.md,UNIFIED_SOURCE_OF_TRUTH_V24.md
DC-DION-API-BACKEND-RECONCILED-001.md,DC-DION-RECONCILED-001.md
DC-DION-OPERATOR-DEPLOYMENT-RECONCILED-001.md,DC-DION-RECONCILED-001.md
DC-IHOSE-ARCHITECTURE-DEPLOYMENT-RECONCILED-001.md,DC-DION-PLATFORM-TECHNICAL-ARCHITECTURE-RECONCILED-001.md
DC-IHOSE-BUSINESS-STRATEGY-RECONCILED-001.md,DC-IHOSE-QUICKSTART-RECONCILED-001.md
DC-IHOSE-BUSINESS-SUMMARIES-RECONCILED-001.md,DC-IHOSE-BUSINESS-STRATEGY-RECONCILED-001.md
DC-IHOSE-BUSINESS-SUMMARIES-RECONCILED-001.md,DC-IHOSE-HARDWARE-BOM-RECONCILED-001.md
DC-IHOSE-FEDERATION-ECOSYSTEM-RECONCILED-001.md,DC-IHOSE-BUSINESS-STRATEGY-RECONCILED-001.md
DC-IHOSE-HARDWARE-BOM-RECONCILED-001.md,DC-IHOSE-BUSINESS-STRATEGY-RECONCILED-001.md
DC-IHOSE-OPENVISION-DOCUMENTATION-PACKAGE-RECONCILED-001.md,DC-IHOSE-ARCHITECTURE-DEPLOYMENT-RECONCILED-001.md
DC-LKB-001.md,DC-COMPUTE-SILICON-ARCH-001.md
DC-LKB-003.md,DC-COMPUTE-SILICON-ARCH-001.md
DC-MESHPLATE-PRIVACY-COMPLIANCE-RECONCILED-001.md,DC-CS-HOA-DEPLOYMENT-RECONCILED-001.md
DC-NETWORKING-ARCH-RECONCILED-001.md,DC-COMPUTE-SILICON-ARCH-001.md
DC-OPENSECURE-OPENPIV-SUBSYSTEM-RECONCILED-001.md,DC-OPENPIV-PACS-INTEGRATION-RECONCILED-001.md
DC-OPENSECURE-PER-SERVICE-IMPL-GUIDES-RECONCILED-001.md,DC-OPENSECURE-OS-DRONE-RECONCILED-001.md
DC-OPENSECURE-PROVINCIAL-PIV-CREDENTIAL-RECONCILED-001.md,DC-PROVINCIAL-SECURITY-NETWORK-RECONCILED-001.md
DC-SECURITY-ECOSYSTEM-SECTOR-PLATFORMS-RECONCILED-001.md,DC-IHOSE-FEDERATION-ECOSYSTEM-RECONCILED-001.md
DC-SECURITY-ECOSYSTEM-SECTOR-PLATFORMS-RECONCILED-001.md,DC-OPENSECURE-SECTOR-USE-CASE-RECONCILED-001.md
DC-TRAFFICMESH-LEGAL-RECONCILED-001.md,DC-TRAFFICMESH-REGULATORY-RECONCILED-001.md
DC-TRAFFICMESH-OTTAWA-GOV-ENGAGEMENT-RECONCILED-001.md,DC-TRAFFICMESH-CITY-FLEET-RECONCILED-001.md
DC-TRAFFICMESH-OTTAWA-GOV-ENGAGEMENT-RECONCILED-001.md,DC-TRAFFICMESH-LEGAL-RECONCILED-001.md
UNIFIED_SOURCE_OF_TRUTH_V24.md,DC-COMPUTE-SILICON-ARCH-001.md
