:START_ID(Document),:END_ID(Project)
d-central/academic-personal/Algonquin-Courses/MAT8002-Week-1-Preparation-Guide-Decimal-Number-System-md.md,Algonquin Courses
d-central/academic-personal/CHOPSHOP/ARCHITECTURE-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/CIPHER-MODULE-GUIDE-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/CONTRIBUTING-1-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/DAY1-QUICKSTART-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/DOCUMENTATION-SUMMARY-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/EXECUTIVE-SUMMARY-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/PHASE1-SPECIFICATION-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/PROJECT-CHARTER-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/QUICK-START-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/README-2-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/README-DOCUMENTATION-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/ROADMAP-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/SETUP-GUIDE-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/_superseded/CONTRIBUTING-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/_superseded/README-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-development-guide-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-phase1-plan-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-roadmap-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-technical-architecture-md.md,CHOPSHOP
d-central/academic-personal/CHOPSHOP/chopshop-testing-strategy-md.md,CHOPSHOP
d-central/academic-personal/Codegen/Initial-Codebase.md,Codegen
d-central/academic-personal/Comptia-A/Comptia-A-Master-Platform.md,Comptia A+
d-central/academic-personal/Comptia-A/Game-Suite.md,Comptia A+
d-central/academic-personal/Comptia-A/marketing-site-html.md,Comptia A+
d-central/academic-personal/D-Central-v2/chatgpt-md.md,D Central v2
d-central/academic-personal/How-to-use-Claude/Claude-prompting-guide-md.md,How to use Claude
d-central/business-legal/CivicMesh/Chat-Context-B.md,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-B2B-001-Commercial-Vehicle-Network-Programme-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-B2B-002-Fleet-Operator-Agreement-Template-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-B2B-003-Platform-Driver-Programme-Specification-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DC-CM-MSSP-CERT-001-MSSP-Certification-Programme-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DC-STRAT-005-Competitive-Moat-Analysis-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-CS-001-CommunityShield-HOA-Condo-Deployment-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-CS-002-CommunityShield-Apartment-Complex-Deployment-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-MP-001-MeshPlate-Municipal-Deployment-Package-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/DEPLOY-TM-002-City-Fleet-Expansion-Plan-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/FIN-CM-001-Founder-Cash-Flow-Model-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/INV-001-D-Central-Seed-Pre-Seed-Pitch-Deck-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/INV-002-CivicMesh-Deep-Dive-Investor-Deck-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/INV-003-D-Central-Group-One-Pager-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/INV-005-CivicMesh-Competitive-Analysis-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/INV-006-D-Central-Cooperative-Economy-Investor-Thesis-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/INV-007-CivicMesh-Government-Validation-Package-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/IRAP-TM-001-NRC-IRAP-Application-TrafficMesh-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-001-D-Central-Group-Articles-of-Incorporation-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-005-Corporate-Structure-Chart-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-CM-001-CivicMesh-Inc-Articles-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-CM-011-Municipal-Data-Federation-Agreement-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-CM-012-HOA-Condo-Participation-Agreement-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-CM-017-MSSP-Franchise-Disclosure-Document-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-GUARD-COOP-001-CivicMesh-Guard-Cooperative-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-MSSP-COOP-001-CivicMesh-MSSP-Cooperative-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LEGAL-TM-001-TrafficMesh-Technologies-Articles-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LOAN-CM-001-ISC-Phase1-Application-Framework-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LOAN-CM-002-ISC-Phase2-Application-Framework-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LOAN-CM-003-Mitacs-Accelerate-University-Research-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LOAN-CM-004-Mitacs-Accelerate-Entrepreneur-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LOAN-CM-005-FedDev-Ontario-Application-Framework-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/LOAN-CM-006-Smart-Cities-Challenge-Framework-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-CCSC-003-Public-Consultation-Toolkit-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-CM-GOV-002-CivicMesh-Anti-Flock-Positioning-Brief-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-CM-GOV-003-Government-Incentive-Programme-Brief-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-INS-001-Insurance-Partner-Pitch-Deck-Narrative-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-MSSP-001-MSSP-Partner-Programme-Prospectus-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-TM-GOV-001-TrafficMesh-Ottawa-Revenue-Gap-Brief-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-TM-GOV-002-OC-Transpo-Pitch-Deck-Narrative-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-TM-GOV-003-City-of-Ottawa-Pitch-Deck-Narrative-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/MKT-TM-GOV-005-TrafficMesh-Deterrence-Argument-Brief-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/PPTX-COM-002-CivicMesh-Town-Hall-Public-Consultation-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/PPTX-CONF-002-CivicMesh-Conference-Talk-Smart-Cities-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/PPTX-GOV-001-TrafficMesh-OC-Transpo-Pilot-Presentation-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/PPTX-GOV-002-TrafficMesh-City-of-Ottawa-Council-Presentation-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/PPTX-INV-002-CivicMesh-Deep-Dive-Deck-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/PPTX-MSSP-001-CivicMesh-MSSP-Partner-Recruitment-Deck-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/REG-CM-003-CivicMesh-Open-Source-Licence-Compliance-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/REG-COOP-001-Cooperative-Regulatory-Compliance-Matrix-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/REG-TM-001-TrafficMesh-Ontario-HTA-Compliance-Analysis-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/REG-TM-002-TrafficMesh-Provincial-Variation-Matrix-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/SRED-CM-001-SR-ED-Project-Ledger-CivicMesh-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/SRED-TM-001-SR-ED-Project-Ledger-TrafficMesh-v1-docx.md,CivicMesh
d-central/business-legal/CivicMesh/TRAIN-007-Accredited-Training-Provider-Programme-v1-docx.md,CivicMesh
d-central/business-legal/D-Central-Business-User-Application/Comprehensive-Cost-Analysis-for-Open-Source-Mesh-Network-Development-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Decentralized-Community-Funding-Model-for-Local-Food-Mesh-Network-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Innovative-Cooperative-Business-Models-for-the-Mesh-Economy-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Mesh-Network-Business-Onboarding-Playbook-90-Day-Value-Capture-Guide-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Mesh-Network-Business-Pitch-Stakeholder-Presentation-Template-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Mesh-Network-Development-Funding-Cascade-Live-Build-Strategy-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Mesh-Network-Value-Chain-Visualization-Quick-Reference-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/Restaurant-Mesh-Transformation-Complete-Cost-Analysis-Revenue-Generation-md.md,D Central Business/ User Application
d-central/business-legal/D-Central-Business-User-Application/_superseded/Mesh-Network-Business-Pitch-Stakeholder-Presentation-Template-md-c3e6da8b.md,D Central Business/ User Application
d-central/business-legal/D-Central-Hardware-Software-Tech-Stack/_superseded/compass-artifact-wf-af3ab4ca-b286-41e2-992f-574eff3ea5fa-text-markdown-md.md,D Central Hardware/Software Tech Stack
d-central/business-legal/D-Central-Live-Development/community-first-strategy-md.md,D Central Live Development
d-central/business-legal/D-Central-Live-Development/dccentral-business-model-md.md,D Central Live Development
