:START_ID(Document),:END_ID(Category)
d-central/academic-personal/Algonquin-Courses/MAT8002-Week-1-Preparation-Guide-Decimal-Number-System-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/ARCHITECTURE-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/CIPHER-MODULE-GUIDE-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/CONTRIBUTING-1-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/DAY1-QUICKSTART-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/DOCUMENTATION-SUMMARY-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/EXECUTIVE-SUMMARY-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/PHASE1-SPECIFICATION-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/PROJECT-CHARTER-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/QUICK-START-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/README-2-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/README-DOCUMENTATION-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/ROADMAP-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/SETUP-GUIDE-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/_superseded/CONTRIBUTING-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/_superseded/README-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/chopshop-development-guide-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/chopshop-phase1-plan-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/chopshop-roadmap-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/chopshop-technical-architecture-md.md,academic-personal
d-central/academic-personal/CHOPSHOP/chopshop-testing-strategy-md.md,academic-personal
d-central/academic-personal/Codegen/Initial-Codebase.md,academic-personal
d-central/academic-personal/Comptia-A/Comptia-A-Master-Platform.md,academic-personal
d-central/academic-personal/Comptia-A/Game-Suite.md,academic-personal
d-central/academic-personal/Comptia-A/marketing-site-html.md,academic-personal
d-central/academic-personal/D-Central-v2/chatgpt-md.md,academic-personal
d-central/academic-personal/How-to-use-Claude/Claude-prompting-guide-md.md,academic-personal
d-central/business-legal/CivicMesh/Chat-Context-B.md,business-legal
d-central/business-legal/CivicMesh/DC-CM-B2B-001-Commercial-Vehicle-Network-Programme-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DC-CM-B2B-002-Fleet-Operator-Agreement-Template-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DC-CM-B2B-003-Platform-Driver-Programme-Specification-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DC-CM-MSSP-CERT-001-MSSP-Certification-Programme-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DC-STRAT-005-Competitive-Moat-Analysis-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DEPLOY-CS-001-CommunityShield-HOA-Condo-Deployment-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DEPLOY-CS-002-CommunityShield-Apartment-Complex-Deployment-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DEPLOY-MP-001-MeshPlate-Municipal-Deployment-Package-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/DEPLOY-TM-002-City-Fleet-Expansion-Plan-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/FIN-CM-001-Founder-Cash-Flow-Model-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/INV-001-D-Central-Seed-Pre-Seed-Pitch-Deck-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/INV-002-CivicMesh-Deep-Dive-Investor-Deck-v1-docx.md,business-legal
d-central/business-legal/CivicMesh/INV-003-D-Central-Group-One-Pager-v1-docx.md,business-legal
